"Player, Team",1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,Points
"Clayton Kershaw, Dodgers",18,9,1,2,,,,,,,355
"Giancarlo Stanton,  Marlins",8,10,12,,,,,,,,298
"Andrew McCutchen,  Pirates",4,10,15,,,1,,,,,271
"Jonathan Lucroy,  Brewers",,1,,13,6,,7,1,,,167
"Anthony Rendon,  Nationals",,,1,5,8,10,2,1,1,1,155
"Buster Posey, Giants",,,1,6,9,6,3,1,1,1,152
"Adrian Gonzalez,  Dodgers",,,,1,4,2,,3,3,1,57
"Adam Wainwright, Cardinals",,,,,1,4,4,3,,2,53
"Josh Harrison,  Pirates",,,,1,,2,5,1,4,4,52
"Anthony Rizzo,  Cubs",,,,,,1,4,2,3,4,37
"Hunter Pence, Giants",,,,,1,3,,2,3,1,34
"Johnny Cueto,  Reds",,,,1,,,,3,2,2,22
"Russell Martin,  Pirates",,,,,,,2,3,1,2,21
"Matt Holliday, Cardinals",,,,,1,1,,2,,,17
"Jhonny Peralta, Cardinals",,,,,,,1,2,3,1,17
"Carlos Gomez,  Brewers",,,,,,,,2,3,1,13
"Justin Upton,  Braves",,,,,,,1,,1,4,10
"Jayson Werth,  Nationals",,,,,,,1,,1,3,9
"Denard Span,  Nationals",,,,1,,,,,,1,8
"Yasiel Puig, Dodgers",,,,,,,,2,1,,8
"Devin Mesoraco,  Reds",,,,,,,,1,1,,5
"Lucas Duda, Mets",,,,,,,,1,,,3
"Freddie Freeman,  Braves",,,,,,,,,1,,2
"Justin Morneau,  Rockies",,,,,,,,,1,,2
"Dee Gordon, Dodgers",,,,,,,,,,1,1
"Troy Tulowitzki,  Rockies",,,,,,,,,,1,1
