"Player, Team",1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,Points
"Christian Yelich, Brewers",29,1,,,,,,,,,415
"Javier Baéz, Cubs",,19,4,5,2,,,,,,250
"Nolan Arenado, Rockies",,3,8,9,5,2,1,1,1,,203
"Freddie Freeman, Braves",,,8,8,3,2,4,2,1,2,174
"Jacob deGrom, Mets",1,7,1,1,4,1,2,2,3,,141
"Paul Goldschmidt, Diamondbacks",,,1,2,3,8,5,4,1,1,115
"Lorenzo Cain, Brewers",,,1,2,4,4,3,5,7,2,109
"Trevor Story, Rockies",,,3,,4,6,2,5,2,3,108
"Matt Carpenter, Cardinals",,,2,2,2,3,7,4,2,4,105
"Max Scherzer, Nationals",,,2,1,2,3,,2,,3,59
"Anthony Rendon, Nationals",,,,,,1,,1,5,3,21
"Ronald Acuña Jr., Braves",,,,,1,,2,,2,1,19
"Aaron Nola, Phillies",,,,,,,2,2,,2,16
"Justin Turner, Dodgers",,,,,,,1,,1,4,10
"Max Muncy, Dodgers",,,,,,,1,,2,,8
"Jesus Aguilar, Brewers",,,,,,,,1,2,,7
"Anthony Rizzo, Cubs",,,,,,,,1,1,1,6
"Nick Markakis, Braves",,,,,,,,,,2,2
"Eugenio Suarez, Reds",,,,,,,,,,2,2
