"Player, Team",1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,Points
"Buster Posey, Giants",27,4,1,,,,,,,,422
"Ryan Braun, Brewers",3,15,10,4,,,,,,,285
"Andrew McCutchen, Pirates",,6,13,11,1,,1,,,,245
"Yadier Molina, Cardinals",2,6,8,13,,,,1,,1,241
"Chase Headley, Padres",,,,1,9,7,5,,5,1,127
"David Wright,Mets",,,,,7,4,1,3,4,3,86
"Adam LaRoche, Nationals",,,,,6,5,2,5,1,,86
"Craig Kimbrel, Braves",,1,,,3,5,2,2,3,1,73
"Aramis Ramirez, Brewers",,,,,1,1,4,6,1,,47
"Jay Bruce, Reds",,,,2,1,3,2,1,,,46
"Matt Holliday, Cardinals",,,,1,,1,2,2,3,2,34
"Aroldis Chapman, Reds",,,,,,1,1,1,3,2,20
"Brandon Phillips, Reds",,,,,,2,1,1,,1,18
"Joey Votto, Reds",,,,,,1,1,,1,5,16
"R.A. Dickey, Mets",,,,,,1,,2,2,1,16
"Clayton Kershaw, Dodgers",,,,,,,3,,1,1,15
"Ian Desmond, Nationals",,,,,,,1,2,2,1,15
"Michael Bourn, Braves",,,,,1,,,2,,,12
"Allen Craig, Cardinals",,,,,,,2,,,2,10
"Gio Gonzalez, Nationals",,,,,1,,,,1,,8
"Alfonso Soriano, Cubs",,,,,,1,,,1,1,8
"Kris Medlen, Braves",,,,,,,2,,,,8
"Martin Prado, Braves",,,,,,,,2,1,,8
"Ryan Zimmerman, Nationals",,,,,1,,,,,1,7
"Giancarlo Stanton, Marlins",,,,,,,1,1,,,7
"Carlos Beltran, Cardinals",,,,,1,,,,,,6
"Aaron Hill, Diamondbacks",,,,,,,1,,,2,6
"Carlos Ruiz, Phillies",,,,,,,,1,,1,4
"Jason Heyward, Braves",,,,,,,,,1,2,4
"Johnny Cueto, Reds",,,,,,,,,1,,2
"Bryce Harper, Nationals",,,,,,,,,1,,2
"Chipper Jones, Braves",,,,,,,,,,1,1
"Miguel Montero, Diamondbacks",,,,,,,,,,1,1
"Angel Pagan, Giants",,,,,,,,,,1,1
"Hunter Pence, Giants",,,,,,,,,,1,1
