Name,Affiliation,Chapter,1st,2nd,3rd,4th,5th
Jerry Crasnick,ESPN.com,BAL,Kluber,Sale,Kimbrel,Severino,Carrasco
Dan Connolly,BaltimoreBaseball.com,BAL,Kluber,Sale,Severino,Carrasco,Verlander
Jason Mastrodonato,Boston Herald,BOS,Sale,Kluber,Severino,Carrasco,Santana
Scott Lauber,ESPN.com,BOS,Kluber,Sale,Severino,Carrasco,Kimbrel
Colleen Kane,Chicago Tribune,CHI,Kluber,Sale,Severino,Carrasco,Verlander
Bruce Levine,CBSChicago.com,CHI,Sale,Kluber,Kimbrel,Verlander,Santana
Zack Meisel,The Athletic,CLE,Kluber,Sale,Severino,Kimbrel,Carrasco
Jim Ingraham,Elyria Chronicle,CLE,Kluber,Sale,Severino,Verlander,Carrasco
Jason Beck,MLB.com,DET,Kluber,Sale,Severino,Carrasco,Verlander
Lynn Henning,Detroit News,DET,Kluber,Sale,Kimbrel,Severino,Carrasco
MoiseKapenda Bower,The Sports Xchange,HOU,Kluber,Sale,Severino,Carrasco,Verlander
Richard Justice,MLB.com,HOU,Kluber,Sale,Verlander,Severino,Carrasco
David Brown,Baseball Prospectus,KC,Kluber,Sale,Kimbrel,Severino,Verlander
Jeff Passan,Yahoo Sports,KC,Kluber,Sale,Severino,Verlander,Carrasco
Maria Guardado,MLB.com,LA,Kluber,Sale,Severino,Carrasco,Verlander
Jeff Fletcher,Orange County Register,LA,Kluber,Sale,Severino,Carrasco,Kimbrel
Mike Berardino,St. Paul Pioneer Press,MIN,Kluber,Sale,Kimbrel,Carrasco,Santana
Rhett Bollinger,MLB.com,MIN,Kluber,Sale,Severino,Verlander,Carrasco
Ken Davidoff,New York Post,NY,Kluber,Sale,Severino,Carrasco,Verlander
Bryan Hoch,MLB.com,NY,Kluber,Sale,Severino,Carrasco,Verlander
John Shea,San Francisco Chronicle,OAK,Kluber,Sale,Verlander,Severino,Kimbrel
Jorge Ortiz,USA Today,OAK,Kluber,Sale,Severino,Carrasco,Kimbrel
Larry Stone,Seattle Times,SEA,Kluber,Sale,Severino,Carrasco,Verlander
Bob Dutton,Tacoma News Tribune,SEA,Kluber,Sale,Verlander,Carrasco,Severino
Bill Madden,At Large,*TB,Kluber,Sale,Severino,Carrasco,Stroman
Martin Fennelly,Tampa Bay Times,TB,Kluber,Sale,Kimbrel,Severino,Verlander
Stefan Stevenson,Star-Telegram,TEX,Kluber,Sale,Carrasco,Verlander,Kimbrel
Evan Grant,Dallas Morning News,TEX,Kluber,Sale,Severino,Verlander,Carrasco
Rob Longley,Toronto Sun,TOR,Kluber,Sale,Severino,Kimbrel,Stroman
Ben Nicholson-Smith,Sportsnet.ca,TOR,Kluber,Sale,Severino,Carrasco,Verlander
