"Player, Team",1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,Points
"Mookie Betts, Red Sox",28,2,,,,,,,,,410
"Mike Trout, Angels",1,24,2,1,2,,,,,,265
"José Ramírez, Indians",,1,10,11,3,4,1,,,,208
"J.D. Martinez, Red Sox",1,2,8,5,5,2,6,1,,,198
"Alex Bregman, Astros",,1,4,10,9,3,3,,,,192
"Francisco Lindor, Indians",,,4,3,7,11,4,1,,,169
"Matt Chapman, Athletics",,,2,,4,9,12,2,1,,141
"Khris Davis, Athletics",,,,,,,1,9,4,2,41
"Blake Snell, Rays",,,,,,,1,7,6,1,38
"Justin Verlander, Astros",,,,,,1,,4,3,3,26
"Mitch Haniger, Mariners",,,,,,,,2,3,4,16
"Aaron Judge, Yankees",,,,,,,2,,,2,10
"Xander Bogaerts, Red Sox",,,,,,,,2,1,1,9
"Jose Altuve, Astros",,,,,,,,,4,1,9
"Blake Treinen, Athletics",,,,,,,,1,,4,7
"Andrelton Simmons, Angels",,,,,,,,,2,3,7
"Whit Merrifield, Royals",,,,,,,,,2,2,6
"Edwin Diaz, Mariners",,,,,,,,,2,1,5
"Giancarlo Stanton, Yankees",,,,,,,,1,,1,4
"Didi Gregorius, Yankees",,,,,,,,,1,1,3
"Jed Lowrie, Athletics",,,,,,,,,1,1,3
"Trevor Bauer, Indians",,,,,,,,,,1,1
"Aaron Hicks, Yankees",,,,,,,,,,1,1
"Chris Sale, Red Sox",,,,,,,,,,1,1
