"Player, Team",1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,Points
"Giancarlo Stanton, Marlins",10,10,5,3,1,1,,,,,302
"Joey Votto, Reds",10,9,4,5,2,,,,,,300
"Paul Goldschmidt, Diamondbacks",4,5,4,9,5,2,,1,,,239
"Nolan Arenado, Rockies",2,3,8,11,4,1,1,,,,229
"Charlie Blackmon, Rockies",3,3,7,1,5,3,5,2,1,,205
"Anthony Rendon, Nationals",,,1,1,6,10,7,4,,,141
"Kris Bryant, Cubs",1,,1,,5,8,6,4,1,2,132
"Justin Turner, Dodgers",,,,,,,3,5,5,6,43
"Cody Bellinger, Dodgers",,,,,,2,3,1,6,1,38
"Max Scherzer, Nationals",,,,,1,,2,3,5,1,34
"Tommy Pham, Cardinals",,,,,,,1,3,3,5,24
"Bryce Harper, Nationals",,,,,,2,,3,,2,21
"Anthony Rizzo, Cubs",,,,,1,,1,,2,3,17
"J.D. Martinez, Diamondbacks",,,,,,,,1,3,2,11
"Kenley Jansen, Dodgers",,,,,,1,,1,,,8
"Marcell Ozuna, Marlins",,,,,,,,,2,4,8
"Clayton Kershaw, Dodgers",,,,,,,1,,1,,6
"Corey Seager, Dodgers",,,,,,,,2,,,6
"Daniel Murphy, Nationals",,,,,,,,,1,1,3
"Archie Bradley, Diamondbacks",,,,,,,,,,1,1
"Zack Greinke, Diamondbacks",,,,,,,,,,1,1
"Ryan Zimmerman, Nationals",,,,,,,,,,1,1
