"Player, Team",1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,Points
"Jose Altuve, Astros",27,3,,,,,,,,,405
"Aaron Judge, Yankees",2,27,1,,,,,,,,279
"Jose Ramirez, Indians",1,,22,6,,1,,,,,237
"Mike Trout, Angels",,,6,18,3,,,,2,1,197
"Francisco Lindor, Indians",,,,4,12,4,4,1,2,,143
"Mookie Betts, Red Sox",,,,2,6,7,1,6,1,1,110
"Corey Kluber, Indians",,,1,,4,7,5,3,2,1,101
"Andrelton Simmons, Angels",,,,,1,3,3,3,8,2,60
"Chris Sale, Red Sox",,,,,1,3,5,3,3,,56
"Nelson Cruz, Mariners",,,,,2,1,3,1,4,4,44
"Brian Dozier, Twins",,,,,1,1,1,3,,1,25
"Jonathan Schoop, Orioles",,,,,,2,,2,,3,19
"George Springer, Astros",,,,,,,2,2,1,1,17
"Jose Abreu, White Sox",,,,,,1,1,1,1,2,16
"Eric Hosmer, Royals",,,,,,,1,2,1,4,16
"Justin Upton, Tigers/Angels",,,,,,,1,2,1,,12
"Carlos Correa, Astros",,,,,,,1,,1,3,9
"Byron Buxton, Twins",,,,,,,1,,1,1,7
"Marwin Gonzalez, Astros",,,,,,,,,2,2,6
"Edwin Encarnacion, Indians",,,,,,,1,,,,4
"Didi Gregorius, Yankees",,,,,,,,1,,1,4
"Khris Davis, Athletics",,,,,,,,,,1,1
"Josh Donaldson, Blue Jays",,,,,,,,,,1,1
"Gary Sanchez, Yankees",,,,,,,,,,1,1
