"Player, Team",1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,Points
"Josh Donaldson,  Blue Jays",23,7,,,,,,,,,385
"Mike Trout,  Angels",7,22,1,,,,,,,,304
"Lorenzo Cain, Royals",,,20,8,,1,1,,,,225
"Manny Machado,  Orioles",,,4,11,5,1,1,1,3,1,158
"Dallas Keuchel,  Astros",,,,3,8,5,1,3,,,107
"Nelson Cruz,  Mariners",,1,1,1,4,2,4,2,6,2,94
"Adrian Beltre,  Rangers",,,,4,1,1,7,3,2,3,83
"Jose Bautista,  Blue Jays",,,2,,2,4,3,4,5,,82
"David Price,  Tigers/Blue Jays",,,1,1,3,3,1,2,1,2,62
"Jose Altuve,  Astros",,,,,,6,1,3,,1,44
"Miguel Cabrera,  Tigers",,,1,,1,1,2,2,3,1,40
"Edwin Encarnacion,  Blue Jays",,,,,1,3,2,3,,,38
"Prince Fielder,  Rangers",,,,,4,1,,,1,2,33
"Chris Davis,  Orioles",,,,,,,5,2,2,2,32
"J.D. Martinez,  Tigers",,,,,,1,1,,3,3,18
"Jason Kipnis,  Indians",,,,1,1,,,1,,1,17
"Kevin Kiermaier, Rays",,,,,,1,,,2,1,10
"Kendrys Morales, Royals",,,,1,,,,,,,7
"Chris Sale, White Sox",,,,,,,1,,,,4
"Mookie Betts,  Red Sox",,,,,,,,1,,1,4
"Jose Abreu,  White Sox",,,,,,,,1,,,3
"Ian Kinsler,  Tigers",,,,,,,,1,,,3
"Mike Moustakas, Royals",,,,,,,,1,,,3
"Carlos Correa,  Astros",,,,,,,,,1,,2
"Brian McCann,  Yankees",,,,,,,,,1,,2
"Eric Hosmer, Royals",,,,,,,,,,2,2
"Russell Martin,  Blue Jays",,,,,,,,,,2,2
"Michael Brantley,  Indians",,,,,,,,,,1,1
"Wade Davis,  Royals",,,,,,,,,,1,1
"Brian Dozier,  Twins",,,,,,,,,,1,1
"David Ortiz,  Red Sox",,,,,,,,,,1,1
"Alex Rodriguez, Yankees",,,,,,,,,,1,1
"Mark Teixeira, Yankees",,,,,,,,,,1,1
