Name,Affiliation,Chapter,1st,2nd,3rd,4th,5th
Guy Curtright,At Large,ATL, Kershaw, Kimbrel, Wainwright, Greinke, Fernandez
Danny Knobler,CBSSports.com,ATL*, Kershaw, Wainwright, Fernandez, Greinke, Harvey
Bob McManaman, Arizona Republic,AZ,Kershaw,Wainwright,Zimmerman,Harvey,Greinke
Jack Magruder,FOX Sports Arizona,AZ,Kershaw,Wainwright,Lee,Fernandez,Kimbrel
Paul Sullivan,Chicago Tribune,CHI,Kershaw,Wainwright,Zimmerman,Kimbrel,Fernandez
Gordon Wittenmyer,Chicago Sun Times,CHI,Kershaw,Wainwright,Lee,Greinke,Zimmermann
Mark Schmetzer,Reds Report,CIN, Wainwright, Kershaw, Zimmerman, Fernandez, Lee
Hal McCoy,At Large,CIN,Kershaw,Wainwright,Zimmerman,Liriano,Greinke
Patrick Saunders, Denver Post,COL, Kershaw, Wainwright, Zimmerman, Kimbrel, Greinke
Jack Etkin,Honorary,COL, Kershaw, Wainwright, Fernandez, Harvey, Kimbrel
Mark Saxon,ESPNLos Angeles.com,LA,Kershaw,Fernandez,Harvey,Lee,Kimbrel
Mark Whicker,Orange County Register,LA, Kershaw, Wainwright, Kimbrel, Fernandez, Harvey
Luis E. Rangel,Diario Las Americas,MIA,Kershaw,Fernández,Harvey,Lee,Wainwright
Manny Navarro,The Miami Herald,MIA,Kershaw,Fernandez,Harvey,Greinke,Wainwright
Drew Olson,ESPN Milwaukee,MIL, Kershaw, Kimbrel, Wainwright, Fernandez, Zimmerman
Will Carroll,Bleacher Report,MIL*,Kershaw,Wainwright,Harvey,Fernandez,Lee
Adam Rubin,ESPNNew York.com,NY,Kershaw,Fernandez,Harvey,Kimbrel,Wainwright
Michael Kerwick,Bergen Record,NY,Kershaw,Fernandez,Harvey,Lee,Wainwright
Ryan Lawrence,Philadelphia Daily News,PHI,Kershaw,Harvey,Fernandez,Lee,Wainwright
Kevin P. Cooney,Bucks County Courier Times,PHI,Kershaw,Wainwright,Grienke,Kimbrel,Liriano
Travis Sawchik,Pittsburgh Tribune-Review,PIT,Kershaw,Wainwright,Harvey,Lee,Fernandez
John Perrotto,USA TODAY,PIT, Kershaw, Wainwright, Lee, Kimbrel, Fernandez
Chris Jenkins,U-T San Diego,SD,Kershaw,Fernandez,Greinke,Harvey,Kimbrel
John Maffei,U-T San Diego,SD,Kershaw,Kimbrel,Zimmerman,Wainwright,Greinke
Ray Ratto,CSN Bay Area,SF, Kershaw, Fernandez, Harvey, Kimbrel, Bumgarner
Andrew Baggarly,CSN Bay Area,SF,Kershaw,Wainwright,Lee,Bumgarner,Fernandez
Berie Miklasz,St. Louis Post-Dispatch,STL,Kershaw,Wainwright,Lee,Harvey,Fernandez
Joe Strauss,St. Louis Post-Dispatch,STL,Kershaw,Kimbrel,Wainwright,Lee,Fernandez
Ken Rosenthal,FOX Sports.com,WAS,Kershaw,Fernandez,Wainwright,Kimbrel,Harvey
Amanda Comak, Washington Times,WAS,Kershaw,Fernandez,Lee,Kimbrel,Zimmermann
